text,phonetic,part_of_speech,definition_en,definition_vi,example_en,example_vi,level
language,/ˈlæŋ.ɡwɪdʒ/,noun,a system of words used for communication,ngôn ngữ,English is an international language.,Tiếng Anh là ngôn ngữ quốc tế.,A2
large,/lɑːdʒ/,adjective,big in size,lớn,The supermarket is very large.,Siêu thị rất lớn.,A2
late,/leɪt/,adjective,after the expected time,muộn / trễ,Sorry I am late.,Xin lỗi vì tôi đến muộn.,A2
learn,/lɜːn/,verb,to gain knowledge or skill,học,She learns new words every day.,Cô ấy học từ mới mỗi ngày.,A2
leave,/liːv/,verb,to go away from a place,rời khỏi / để lại,They leave for the airport at six.,Họ khởi hành đến sân bay lúc sáu giờ.,A2
lesson,/ˈles.ən/,noun,a period of teaching,bài học,The English lesson starts at nine.,Bài học tiếng Anh bắt đầu lúc chín giờ.,A2
letter,/ˈlet.ər/,noun,a written message sent to someone,lá thư,She wrote a letter to her friend.,Cô ấy viết thư cho bạn mình.,A2
light,/laɪt/,noun,energy that makes things visible,ánh sáng,Turn off the light when you leave.,Tắt đèn khi bạn ra ngoài.,A2
listen,/ˈlɪs.ən/,verb,to pay attention to sounds,lắng nghe,Listen to the teacher carefully.,Lắng nghe giáo viên cẩn thận.,A2
live,/lɪv/,verb,to have your home in a place,sống,He lives near the beach.,Anh ấy sống gần biển.,A2
long,/lɒŋ/,adjective,measuring a great distance from end to end,dài,The road is very long.,Con đường rất dài.,A2
look,/lʊk/,verb,to turn your eyes toward something,nhìn,Look at the beautiful sunset.,Nhìn vào hoàng hôn đẹp kia.,A2
lose,/luːz/,verb,to no longer have something,mất,I often lose my keys.,Tôi hay bị mất chìa khóa.,A2
love,/lʌv/,verb,to have a strong feeling of affection,yêu thương,She loves her family deeply.,Cô ấy yêu gia đình rất sâu sắc.,A2
lunch,/lʌntʃ/,noun,a meal eaten in the middle of the day,bữa trưa,We eat lunch together at noon.,Chúng tôi ăn trưa cùng nhau lúc mười hai giờ.,A2
make,/meɪk/,verb,to produce or create something,làm / tạo ra,She makes cakes for the party.,Cô ấy làm bánh ngọt cho bữa tiệc.,A2
market,/ˈmɑː.kɪt/,noun,a place where goods are bought and sold,chợ,Fresh vegetables are sold at the market.,Rau tươi được bán ở chợ.,A2
meet,/miːt/,verb,to come together with someone,gặp,We meet at the coffee shop at noon.,Chúng tôi gặp nhau ở quán cà phê lúc trưa.,A2
message,/ˈmes.ɪdʒ/,noun,a short piece of information sent to someone,tin nhắn,Send me a message when you arrive.,Nhắn tin cho tôi khi bạn đến.,A2
minute,/ˈmɪn.ɪt/,noun,a unit of time equal to sixty seconds,phút,Wait for a minute please.,Vui lòng đợi một phút.,A2
miss,/mɪs/,verb,to feel sad because someone is not there,nhớ,She misses her hometown.,Cô ấy nhớ quê hương.,A2
morning,/ˈmɔː.nɪŋ/,noun,the part of the day from midnight to noon,buổi sáng,I feel fresh in the morning.,Tôi cảm thấy sảng khoái vào buổi sáng.,A2
move,/muːv/,verb,to change position or go to a different place,di chuyển,We moved to a new apartment.,Chúng tôi chuyển đến một căn hộ mới.,A2
music,/ˈmjuː.zɪk/,noun,sounds organized in a pleasant way,âm nhạc,She plays music every evening.,Cô ấy chơi nhạc mỗi buổi tối.,A2
near,/nɪər/,preposition,at a short distance from something,gần,The park is near my house.,Công viên gần nhà tôi.,A2
need,/niːd/,verb,to require something,cần,I need a pen to write this.,Tôi cần bút để viết điều này.,A2
never,/ˈnev.ər/,adverb,not ever,không bao giờ,She never arrives late.,Cô ấy không bao giờ đến muộn.,A2
nice,/naɪs/,adjective,pleasant or attractive,dễ chịu,You look very nice today.,Bạn trông rất dễ chịu hôm nay.,A2
normally,/ˈnɔː.mə.li/,adverb,in the usual or expected way,thường thường,I normally wake up at six.,Tôi thường thức dậy lúc sáu giờ.,A2
now,/naʊ/,adverb,at the present time,bây giờ,I am busy now.,Tôi đang bận bây giờ.,A2
nurse,/nɜːs/,noun,a person who cares for sick people,y tá,The nurse is very kind.,Y tá rất tốt bụng.,A2
office,/ˈɒf.ɪs/,noun,a room or building where people work,văn phòng,She works in a big office.,Cô ấy làm việc trong một văn phòng lớn.,A2
only,/ˈəʊn.li/,adverb,no more than a particular amount,chỉ,I only have ten minutes.,Tôi chỉ có mười phút.,A2
order,/ˈɔː.dər/,verb,to ask for food or drinks in a restaurant,gọi đồ ăn,She ordered a cup of tea.,Cô ấy gọi một tách trà.,A2
outside,/ˌaʊtˈsaɪd/,adverb,not inside a building,bên ngoài,Let's sit outside.,Hãy ngồi bên ngoài.,A2
paper,/ˈpeɪ.pər/,noun,a thin material used for writing,giấy,Write your name on the paper.,Viết tên của bạn lên giấy.,A2
people,/ˈpiː.pəl/,noun,human beings in general,con người / mọi người,Many people visit this place.,Nhiều người đến thăm nơi này.,A2
perfect,/ˈpɜː.fɪkt/,adjective,having no mistakes or faults,hoàn hảo,Your pronunciation is perfect.,Phát âm của bạn hoàn hảo.,A2
phone,/fəʊn/,noun,a device used to make and receive calls,điện thoại,She left her phone on the table.,Cô ấy để điện thoại trên bàn.,A2
place,/pleɪs/,noun,a particular area or position,nơi chốn,This is a beautiful place.,Đây là một nơi đẹp.,A2
plan,/plæn/,noun,a set of decisions about how to do something,kế hoạch,We have a plan for the weekend.,Chúng tôi có kế hoạch cho cuối tuần.,A2
price,/praɪs/,noun,the amount of money needed to buy something,giá cả,What is the price of this bag?,Giá chiếc túi này là bao nhiêu?,A2
problem,/ˈprɒb.ləm/,noun,a situation that causes difficulty,vấn đề,She solved the problem quickly.,Cô ấy giải quyết vấn đề nhanh chóng.,A2
question,/ˈkwes.tʃən/,noun,a sentence asking for information,câu hỏi,Please ask a question if you do not understand.,Hãy hỏi nếu bạn không hiểu.,A2
quickly,/ˈkwɪk.li/,adverb,at a fast speed,nhanh chóng,She finished the test quickly.,Cô ấy làm xong bài kiểm tra nhanh chóng.,A2
ready,/ˈred.i/,adjective,prepared for something,sẵn sàng,Are you ready to go?,Bạn đã sẵn sàng đi chưa?,A2
red,/red/,adjective,having the color of blood,màu đỏ,She wore a red scarf.,Cô ấy đeo khăn đỏ.,A2
remember,/rɪˈmem.bər/,verb,to bring something back to your mind,nhớ lại,Do you remember her name?,Bạn có nhớ tên cô ấy không?,A2
repeat,/rɪˈpiːt/,verb,to say or do something again,lặp lại,Please repeat the sentence.,Vui lòng lặp lại câu đó.,A2
restaurant,/ˈres.tɒr.ənt/,noun,a place where you pay to eat meals,nhà hàng,We had dinner at a restaurant.,Chúng tôi ăn tối tại nhà hàng.,A2
return,/rɪˈtɜːn/,verb,to go or come back to a place,trở về,She returned home after vacation.,Cô ấy trở về nhà sau kỳ nghỉ.,A2
road,/rəʊd/,noun,a path with a hard surface for vehicles,con đường,The road is very busy this morning.,Con đường rất tấp nập sáng nay.,A2
room,/ruːm/,noun,a separate space inside a building,phòng,Her room is clean and tidy.,Phòng của cô ấy sạch sẽ và gọn gàng.,A2
sad,/sæd/,adjective,unhappy or sorrowful,buồn,She felt sad when she heard the news.,Cô ấy cảm thấy buồn khi nghe tin đó.,A2
same,/seɪm/,adjective,identical in every way,giống nhau,We have the same teacher.,Chúng tôi có cùng một giáo viên.,A2
say,/seɪ/,verb,to speak words out loud,nói,She said goodbye to everyone.,Cô ấy nói lời tạm biệt với mọi người.,A2
see,/siː/,verb,to perceive with your eyes,nhìn thấy,Can you see the mountains from here?,Bạn có thể nhìn thấy núi từ đây không?,A2
sell,/sel/,verb,to give something in exchange for money,bán,He sells fresh fruit at the market.,Anh ấy bán hoa quả tươi ở chợ.,A2
send,/send/,verb,to cause something to go somewhere,gửi,Please send me an email.,Vui lòng gửi email cho tôi.,A2
short,/ʃɔːt/,adjective,measuring a small distance from end to end,ngắn,The meeting was short.,Cuộc họp rất ngắn.,A2
show,/ʃəʊ/,verb,to allow someone to see something,chỉ / cho xem,Show me your homework.,Cho tôi xem bài tập về nhà của bạn.,A2
sing,/sɪŋ/,verb,to make music with your voice,hát,She loves to sing in the shower.,Cô ấy thích hát khi tắm.,A2
sit,/sɪt/,verb,to rest with your bottom on a surface,ngồi,Please sit down.,Vui lòng ngồi xuống.,A2
small,/smɔːl/,adjective,little in size,nhỏ,They live in a small village.,Họ sống ở một ngôi làng nhỏ.,A2
smile,/smaɪl/,verb,to curve your mouth upward to show happiness,mỉm cười,She always smiles when she sees him.,Cô ấy luôn mỉm cười khi nhìn thấy anh ấy.,A2
sometimes,/ˈsʌm.taɪmz/,adverb,occasionally,đôi khi,He sometimes eats lunch at his desk.,Đôi khi anh ấy ăn trưa tại bàn.,A2
song,/sɒŋ/,noun,a piece of music with words,bài hát,This is my favorite song.,Đây là bài hát yêu thích của tôi.,A2
soon,/suːn/,adverb,in a short time from now,sớm,I will be there soon.,Tôi sẽ đến đó sớm.,A2
sorry,/ˈsɒr.i/,adjective,feeling regret or sadness,xin lỗi,I am sorry for being late.,Tôi xin lỗi vì đến muộn.,A2
speak,/spiːk/,verb,to talk to someone,nói / phát biểu,She speaks three languages.,Cô ấy nói được ba ngôn ngữ.,A2
spend,/spend/,verb,to use money or time,tiêu / dành,She spends time reading every evening.,Cô ấy dành thời gian đọc sách mỗi tối.,A2
sport,/spɔːt/,noun,a physical game or activity,thể thao,He enjoys watching sport on TV.,Anh ấy thích xem thể thao trên TV.,A2
stand,/stænd/,verb,to be in an upright position on your feet,đứng,Please stand up when the teacher enters.,Vui lòng đứng dậy khi giáo viên vào.,A2
start,/stɑːt/,verb,to begin doing something,bắt đầu,The film starts at eight.,Phim bắt đầu lúc tám giờ.,A2
station,/ˈsteɪ.ʃən/,noun,a place where trains or buses stop,bến xe / ga tàu,The bus station is near the market.,Bến xe buýt gần chợ.,A2
stay,/steɪ/,verb,to remain in a place,ở lại,She stayed at home all day.,Cô ấy ở nhà cả ngày.,A2
stop,/stɒp/,verb,to no longer move or continue,dừng lại,Stop talking in class.,Ngừng nói chuyện trong lớp.,A2
store,/stɔːr/,noun,a place where things are sold,cửa hàng,The store opens at nine in the morning.,Cửa hàng mở cửa lúc chín giờ sáng.,A2
story,/ˈstɔː.ri/,noun,a description of events that may be real or imaginary,câu chuyện,She told us an interesting story.,Cô ấy kể cho chúng tôi một câu chuyện thú vị.,A2
street,/striːt/,noun,a road in a town with buildings along it,con phố,The bookstore is on the main street.,Hiệu sách ở trên phố chính.,A2
strong,/strɒŋ/,adjective,having great physical power,mạnh mẽ,He is tall and strong.,Anh ấy cao và mạnh mẽ.,A2
student,/ˈstjuː.dənt/,noun,a person who is learning at school,học sinh / sinh viên,She is a good student.,Cô ấy là học sinh giỏi.,A2
study,/ˈstʌd.i/,verb,to learn about a subject by reading,học tập,He studies English every night.,Anh ấy học tiếng Anh mỗi tối.,A2
summer,/ˈsʌm.ər/,noun,the warmest season of the year,mùa hè,We go to the beach in summer.,Chúng tôi ra biển vào mùa hè.,A2
sure,/ʃʊər/,adjective,certain about something,chắc chắn,Are you sure about that?,Bạn có chắc về điều đó không?,A2
take,/teɪk/,verb,to get hold of something and bring it,lấy / mang,Take your umbrella with you.,Mang ô theo với bạn.,A2
tall,/tɔːl/,adjective,of great height,cao,The basketball player is very tall.,Cầu thủ bóng rổ rất cao.,A2
teach,/tiːtʃ/,verb,to give knowledge or instruction to someone,dạy,She teaches mathematics at school.,Cô ấy dạy toán ở trường.,A2
teacher,/ˈtiːtʃ.ər/,noun,a person whose job is to teach,giáo viên,My teacher is very patient.,Giáo viên của tôi rất kiên nhẫn.,A2
telephone,/ˈtel.ɪ.fəʊn/,noun,a device used for making calls over distance,điện thoại,The telephone is on the desk.,Điện thoại ở trên bàn.,A2
tell,/tel/,verb,to communicate information to someone,kể / nói,Tell me about your holiday.,Kể cho tôi nghe về kỳ nghỉ của bạn.,A2
think,/θɪŋk/,verb,to use your mind to consider ideas,nghĩ,I think this answer is correct.,Tôi nghĩ câu trả lời này đúng.,A2
thirsty,/ˈθɜː.sti/,adjective,feeling a need to drink,khát,I am very thirsty after running.,Tôi rất khát sau khi chạy.,A2
ticket,/ˈtɪk.ɪt/,noun,a small piece of paper allowing entry or travel,vé,I bought two tickets for the concert.,Tôi mua hai vé cho buổi hòa nhạc.,A2
tired,/ˈtaɪəd/,adjective,feeling a need to rest or sleep,mệt mỏi,She feels tired after a long day.,Cô ấy cảm thấy mệt mỏi sau một ngày dài.,A2
together,/təˈɡeð.ər/,adverb,with another person or group,cùng nhau,They study together in the library.,Họ học cùng nhau ở thư viện.,A2
town,/taʊn/,noun,a place larger than a village with buildings,thị trấn,She grew up in a small town.,Cô ấy lớn lên ở một thị trấn nhỏ.,A2
train,/treɪn/,noun,a vehicle that runs on railway tracks,tàu hỏa,The train to Ho Chi Minh City leaves at seven.,Tàu đến Thành phố Hồ Chí Minh khởi hành lúc bảy giờ.,A2
travel,/ˈtræv.əl/,verb,to make a journey to a place,đi du lịch,She loves to travel to new countries.,Cô ấy thích đi du lịch đến các nước mới.,A2
try,/traɪ/,verb,to make an effort to do something,cố gắng / thử,Try to speak English every day.,Cố gắng nói tiếng Anh mỗi ngày.,A2
turn,/tɜːn/,verb,to move in a circular direction,quay / rẽ,Turn left at the traffic light.,Rẽ trái ở đèn giao thông.,A2
wait,/weɪt/,verb,to stay in a place until something happens,chờ đợi,Wait for me at the gate.,Đợi tôi ở cổng.,A2
want,/wɒnt/,verb,to feel a desire for something,muốn,I want to learn French.,Tôi muốn học tiếng Pháp.,A2
warm,/wɔːm/,adjective,having a comfortable temperature,ấm áp,The weather is warm today.,Thời tiết hôm nay ấm áp.,A2
watch,/wɒtʃ/,verb,to look at something for some time,xem / nhìn,She watches TV after dinner.,Cô ấy xem TV sau bữa tối.,A2
weather,/ˈweð.ər/,noun,the temperature and conditions outside,thời tiết,The weather is sunny and warm.,Thời tiết nắng ấm.,A2
week,/wiːk/,noun,a period of seven days,tuần,I study five days a week.,Tôi học năm ngày mỗi tuần.,A2
wife,/waɪf/,noun,a woman who is married,người vợ,His wife is a nurse.,Vợ anh ấy là y tá.,A2
win,/wɪn/,verb,to come first in a competition,thắng,She won first prize.,Cô ấy giành giải nhất.,A2
winter,/ˈwɪn.tər/,noun,the coldest season of the year,mùa đông,It snows a lot in winter.,Trời tuyết rất nhiều vào mùa đông.,A2
wonderful,/ˈwʌn.də.fəl/,adjective,extremely good or impressive,tuyệt vời,What a wonderful view!,Thật là một cảnh tuyệt vời!,A2
word,/wɜːd/,noun,a unit of language with meaning,từ,Learn five new words each day.,Học năm từ mới mỗi ngày.,A2
work,/wɜːk/,verb,to do a job or activity,làm việc,She works at a hospital.,Cô ấy làm việc ở bệnh viện.,A2
write,/raɪt/,verb,to make letters or words on paper,viết,Write your name on the form.,Viết tên của bạn vào mẫu đơn.,A2
wrong,/rɒŋ/,adjective,not correct or not suitable,sai,Sorry I dialed the wrong number.,Xin lỗi tôi đã bấm nhầm số.,A2
ability,/əˈbɪl.ɪ.ti/,noun,the skill or power to do something,khả năng,She has the ability to learn quickly.,Cô ấy có khả năng học nhanh.,B1
abroad,/əˈbrɔːd/,adverb,in or to a foreign country,ở nước ngoài,She studied abroad for a year.,Cô ấy học ở nước ngoài một năm.,B1
accept,/əkˈsept/,verb,to receive something offered,chấp nhận,He accepted the job offer.,Anh ấy chấp nhận đề nghị công việc.,B1
achieve,/əˈtʃiːv/,verb,to succeed in reaching a goal,đạt được,She achieved her goal of speaking fluent English.,Cô ấy đạt được mục tiêu nói tiếng Anh thành thạo.,B1
advantage,/ədˈvɑːn.tɪdʒ/,noun,something that makes you better than others,lợi thế,Knowing English is a big advantage.,Biết tiếng Anh là một lợi thế lớn.,B1
advice,/ədˈvaɪs/,noun,a suggestion about what someone should do,lời khuyên,She gave me useful advice.,Cô ấy cho tôi lời khuyên hữu ích.,B1
afraid,/əˈfreɪd/,adjective,feeling fear about something,sợ hãi,She is afraid of the dark.,Cô ấy sợ bóng tối.,B1
although,/ɔːlˈðəʊ/,conjunction,despite the fact that,mặc dù,Although it was cold she went out.,Mặc dù trời lạnh cô ấy vẫn ra ngoài.,B1
appear,/əˈpɪər/,verb,to come into sight,xuất hiện,A rainbow appeared after the rain.,Cầu vồng xuất hiện sau cơn mưa.,B1
apply,/əˈplaɪ/,verb,to make a formal request for something,nộp đơn / áp dụng,She applied for a new job.,Cô ấy nộp đơn xin việc mới.,B1
appointment,/əˈpɔɪnt.mənt/,noun,an arranged meeting at a specific time,cuộc hẹn,I have a doctor appointment tomorrow.,Tôi có lịch hẹn bác sĩ ngày mai.,B1
approach,/əˈprəʊtʃ/,verb,to come near to something,tiếp cận,She approached the problem calmly.,Cô ấy tiếp cận vấn đề một cách bình tĩnh.,B1
approximately,/əˈprɒk.sɪ.mə.tli/,adverb,close to an exact amount,xấp xỉ,The journey takes approximately two hours.,Hành trình mất khoảng hai giờ.,B1
argue,/ˈɑː.ɡjuː/,verb,to disagree strongly using words,tranh luận,They often argue about small things.,Họ thường tranh luận về những chuyện nhỏ.,B1
article,/ˈɑː.tɪ.kəl/,noun,a piece of writing in a newspaper,bài báo,She wrote an article about climate change.,Cô ấy viết một bài báo về biến đổi khí hậu.,B1
attend,/əˈtend/,verb,to be present at an event,tham dự,All students must attend the meeting.,Tất cả học sinh phải tham dự cuộc họp.,B1
attitude,/ˈæt.ɪ.tjuːd/,noun,your feelings or opinions about something,thái độ,She has a positive attitude toward learning.,Cô ấy có thái độ tích cực đối với việc học.,B1
available,/əˈveɪ.lə.bəl/,adjective,ready to be used or obtained,có sẵn,Is this product available in stores?,Sản phẩm này có bán ở cửa hàng không?,B1
average,/ˈæv.ər.ɪdʒ/,noun,the result of adding numbers and dividing by the count,mức trung bình,Her test score is above average.,Điểm kiểm tra của cô ấy cao hơn mức trung bình.,B1
avoid,/əˈvɔɪd/,verb,to keep away from something,tránh,Avoid eating junk food.,Tránh ăn đồ ăn vặt.,B1
aware,/əˈweər/,adjective,knowing that something exists,biết / nhận thức,She is aware of the risks.,Cô ấy biết về những rủi ro.,B1
behave,/bɪˈheɪv/,verb,to act in a particular way,cư xử,He behaves well at school.,Anh ấy cư xử tốt ở trường.,B1
believe,/bɪˈliːv/,verb,to think something is true,tin tưởng,I believe you can do it.,Tôi tin bạn có thể làm được.,B1
benefit,/ˈben.ɪ.fɪt/,noun,an advantage or good effect,lợi ích,Exercise has many benefits for health.,Tập thể dục có nhiều lợi ích cho sức khỏe.,B1
broad,/brɔːd/,adjective,wide from one side to the other,rộng,The road is broad enough for two cars.,Con đường đủ rộng cho hai xe ô tô.,B1
calm,/kɑːm/,adjective,not worried or excited,bình tĩnh,Stay calm in an emergency.,Hãy bình tĩnh trong trường hợp khẩn cấp.,B1
career,/kəˈrɪər/,noun,a job or profession over a long period,sự nghiệp,She has a successful career in medicine.,Cô ấy có sự nghiệp thành công trong y học.,B1
cause,/kɔːz/,noun,the reason why something happens,nguyên nhân,What is the cause of the problem?,Nguyên nhân của vấn đề là gì?,B1
celebrate,/ˈsel.ɪ.breɪt/,verb,to do something enjoyable for a special occasion,kỷ niệm / ăn mừng,We celebrate New Year's Eve together.,Chúng tôi đón Giao thừa cùng nhau.,B1
certainly,/ˈsɜː.tən.li/,adverb,without any doubt,chắc chắn,She will certainly pass the exam.,Cô ấy chắc chắn sẽ vượt qua kỳ thi.,B1
challenge,/ˈtʃæl.ɪndʒ/,noun,something difficult that tests your abilities,thách thức,Learning a language is a big challenge.,Học một ngôn ngữ là một thách thức lớn.,B1
chance,/tʃɑːns/,noun,an opportunity to do something,cơ hội,This is a chance to improve your skills.,Đây là cơ hội để cải thiện kỹ năng của bạn.,B1
character,/ˈkær.ɪk.tər/,noun,the qualities that make someone unique,tính cách,She has a kind and generous character.,Cô ấy có tính cách tốt bụng và hào phóng.,B1
collect,/kəˈlekt/,verb,to gather things together,thu thập / sưu tầm,He collects stamps from around the world.,Anh ấy sưu tầm tem từ khắp nơi trên thế giới.,B1
compare,/kəmˈpeər/,verb,to examine how two things are similar or different,so sánh,Compare the two prices before buying.,So sánh hai giá trước khi mua.,B1
competition,/ˌkɒm.pɪˈtɪʃ.ən/,noun,an event where people compete,cuộc thi,She won the singing competition.,Cô ấy giành chiến thắng trong cuộc thi hát.,B1
complex,/ˈkɒm.pleks/,adjective,consisting of many connected parts,phức tạp,The problem is quite complex.,Vấn đề khá phức tạp.,B1
concentrate,/ˈkɒn.sən.treɪt/,verb,to focus your attention on something,tập trung,Concentrate on your studies.,Tập trung vào việc học của bạn.,B1
confident,/ˈkɒn.fɪ.dənt/,adjective,certain that you can do something,tự tin,She feels confident in her abilities.,Cô ấy tự tin vào khả năng của mình.,B1
consider,/kənˈsɪd.ər/,verb,to think carefully about something,xem xét,Consider all options before deciding.,Xem xét tất cả các lựa chọn trước khi quyết định.,B1
contact,/ˈkɒn.tækt/,verb,to communicate with someone,liên lạc,Contact me if you need help.,Liên lạc với tôi nếu bạn cần giúp đỡ.,B1
contain,/kənˈteɪn/,verb,to have something inside,chứa đựng,This box contains twenty books.,Hộp này chứa hai mươi cuốn sách.,B1
continue,/kənˈtɪn.juː/,verb,to keep doing something without stopping,tiếp tục,She continued reading after dinner.,Cô ấy tiếp tục đọc sách sau bữa tối.,A2
create,/kriˈeɪt/,verb,to make something new,tạo ra,She created a beautiful painting.,Cô ấy tạo ra một bức tranh đẹp.,B1
culture,/ˈkʌl.tʃər/,noun,the ideas and customs of a society,văn hóa,Vietnamese culture is very diverse.,Văn hóa Việt Nam rất đa dạng.,B1
current,/ˈkʌr.ənt/,adjective,happening or existing now,hiện tại,What is the current situation?,Tình hình hiện tại như thế nào?,B1
data,/ˈdeɪ.tə/,noun,information in the form of facts or statistics,dữ liệu,We need more data to make a decision.,Chúng tôi cần nhiều dữ liệu hơn để đưa ra quyết định.,B1
debate,/dɪˈbeɪt/,noun,a formal discussion of opposing opinions,cuộc tranh luận,They had a debate about the new policy.,Họ tranh luận về chính sách mới.,B1
describe,/dɪˈskraɪb/,verb,to say what something is like,miêu tả,Describe the main character of the story.,Mô tả nhân vật chính của câu chuyện.,B1
design,/dɪˈzaɪn/,verb,to plan how something will look,thiết kế,She designed a new website.,Cô ấy thiết kế một trang web mới.,B1
despite,/dɪˈspaɪt/,preposition,without being affected by something,mặc dù,She succeeded despite the difficulties.,Cô ấy thành công dù gặp nhiều khó khăn.,B1
develop,/dɪˈvel.əp/,verb,to grow or become more advanced,phát triển,She is developing her language skills.,Cô ấy đang phát triển kỹ năng ngôn ngữ.,B1
discuss,/dɪˈskʌs/,verb,to talk about a topic with others,thảo luận,Let us discuss the project plan.,Hãy cùng thảo luận về kế hoạch dự án.,B1
distance,/ˈdɪs.təns/,noun,how far it is between two places,khoảng cách,What is the distance between the two cities?,Khoảng cách giữa hai thành phố là bao nhiêu?,B1
doubt,/daʊt/,noun,a feeling of uncertainty,sự nghi ngờ,She had doubts about the decision.,Cô ấy nghi ngờ về quyết định đó.,B1
effort,/ˈef.ət/,noun,the energy needed to do something,nỗ lực,She made a great effort to pass the test.,Cô ấy nỗ lực rất nhiều để vượt qua bài kiểm tra.,B1
emotion,/ɪˈməʊ.ʃən/,noun,a strong feeling such as love or fear,cảm xúc,Music can create strong emotions.,Âm nhạc có thể tạo ra những cảm xúc mạnh mẽ.,B1
encourage,/ɪnˈkʌr.ɪdʒ/,verb,to give support and confidence to someone,khuyến khích,Her teacher encouraged her to keep trying.,Giáo viên khuyến khích cô ấy tiếp tục cố gắng.,B1
environment,/ɪnˈvaɪ.rən.mənt/,noun,the natural world around us,môi trường,We must protect the environment.,Chúng ta phải bảo vệ môi trường.,B1
especially,/ɪˈspeʃ.əl.i/,adverb,more than usual or particularly,đặc biệt,She loves animals especially cats.,Cô ấy yêu động vật đặc biệt là mèo.,B1
event,/ɪˈvent/,noun,something that happens at a specific time,sự kiện,The sports event attracted thousands of people.,Sự kiện thể thao thu hút hàng ngàn người.,B1
evidence,/ˈev.ɪ.dəns/,noun,facts proving whether something is true,bằng chứng,There is clear evidence of his guilt.,Có bằng chứng rõ ràng về lỗi của anh ấy.,B1
exactly,/ɪɡˈzækt.li/,adverb,precisely and accurately,chính xác,Tell me exactly what happened.,Hãy nói cho tôi biết chính xác điều gì đã xảy ra.,B1
expect,/ɪkˈspekt/,verb,to think something will happen,mong đợi,I expect the package to arrive tomorrow.,Tôi mong gói hàng sẽ đến vào ngày mai.,B1
experience,/ɪkˈspɪər.i.əns/,noun,knowledge gained from doing things,kinh nghiệm,She has a lot of experience in teaching.,Cô ấy có nhiều kinh nghiệm trong giảng dạy.,B1
experiment,/ɪkˈsper.ɪ.mənt/,noun,a scientific test to discover something,thí nghiệm,They conducted an experiment in the lab.,Họ thực hiện một thí nghiệm trong phòng lab.,B1
expert,/ˈek.spɜːt/,noun,a person with great knowledge in a field,chuyên gia,She is an expert in artificial intelligence.,Cô ấy là chuyên gia về trí tuệ nhân tạo.,B1
express,/ɪkˈspres/,verb,to show your feelings or ideas,bày tỏ / diễn đạt,She expressed her opinion clearly.,Cô ấy bày tỏ ý kiến của mình rõ ràng.,B1
fail,/feɪl/,verb,to not succeed in something,thất bại,He failed the driving test twice.,Anh ấy trượt kỳ thi lái xe hai lần.,B1
familiar,/fəˈmɪl.i.ər/,adjective,well known from before,quen thuộc,This place looks familiar.,Nơi này trông quen thuộc.,B1
feature,/ˈfiː.tʃər/,noun,an important or interesting part of something,đặc điểm / tính năng,The main feature of this phone is its camera.,Tính năng chính của điện thoại này là camera.,B1
focus,/ˈfəʊ.kəs/,verb,to give attention to one thing,tập trung vào,Focus on one task at a time.,Tập trung vào một nhiệm vụ mỗi lần.,B1
formal,/ˈfɔː.məl/,adjective,official and serious,trang trọng,He wore a formal suit to the interview.,Anh ấy mặc bộ đồ trang trọng đi phỏng vấn.,B1
forward,/ˈfɔː.wəd/,adverb,toward the front or future,tiến về phía trước,Look forward and keep going.,Nhìn về phía trước và tiếp tục đi.,B1
frequent,/ˈfriː.kwənt/,adjective,happening often,thường xuyên,She makes frequent visits to the library.,Cô ấy thường xuyên đến thư viện.,B1
general,/ˈdʒen.ər.əl/,adjective,affecting or including everything,chung / phổ biến,In general the project went well.,Nhìn chung dự án diễn ra tốt đẹp.,B1
gradually,/ˈɡrædʒ.u.ə.li/,adverb,slowly over a period of time,dần dần,Her English improved gradually.,Tiếng Anh của cô ấy dần dần được cải thiện.,B1
health,/helθ/,noun,the condition of your body and mind,sức khỏe,Good health is the most important thing.,Sức khỏe tốt là điều quan trọng nhất.,B1
however,/haʊˈev.ər/,adverb,despite what was said before,tuy nhiên,The test was hard however she passed.,Bài kiểm tra khó tuy nhiên cô ấy vẫn vượt qua.,B1
identify,/aɪˈden.tɪ.faɪ/,verb,to recognize who someone is,xác định,Can you identify the problem?,Bạn có thể xác định vấn đề không?,B1
imagine,/ɪˈmædʒ.ɪn/,verb,to form a picture in your mind,tưởng tượng,Imagine living in a foreign country.,Hãy tưởng tượng sống ở một quốc gia nước ngoài.,B1
improve,/ɪmˈpruːv/,verb,to become or make something better,cải thiện,Reading every day will improve your vocabulary.,Đọc sách mỗi ngày sẽ cải thiện vốn từ vựng của bạn.,B1
include,/ɪnˈkluːd/,verb,to have something as a part,bao gồm,The package includes a free gift.,Gói hàng bao gồm một quà tặng miễn phí.,B1
increase,/ɪnˈkriːs/,verb,to become larger in number or amount,tăng,Her salary increased this year.,Lương của cô ấy tăng trong năm nay.,B1
individual,/ˌɪn.dɪˈvɪdʒ.u.əl/,noun,a single person,cá nhân,Every individual has rights.,Mỗi cá nhân đều có quyền.,B1
influence,/ˈɪn.flu.əns/,noun,the power to affect others,ảnh hưởng,She has a strong influence on her students.,Cô ấy có ảnh hưởng mạnh mẽ đến học sinh.,B1
inform,/ɪnˈfɔːm/,verb,to give information to someone,thông báo,Please inform me of any changes.,Vui lòng thông báo cho tôi về bất kỳ thay đổi nào.,B1
