text,phonetic,part_of_speech,definition_en,definition_vi,example_en,example_vi,level,image_url
old,,adj.,,cũ,,,A1,
on,,"prep., adv.",,trên,,,A1,
once,,"adv., conj.",,một lần,,,A1,
one,,"number, det., pron.",,một,,,A1,
only,,"adj., adv.",,duy nhất,,,A1,
open,,"adj., v.",,mở ra,,,A1,
operate,,v.,,vận hành,,,A1,
opposite,,"adj., adv., n., prep.",,đối diện,,,A1,
or,,,,hoặc,,,A1,
order,,"n., v.",,ra lệnh,,,A1,
organ,,n.,,cơ quan,,,A1,
original,,"adj., n.",,bản gốc,,,A1,
other,,"adj., pron.",,khác,,,A1,
our,,det.,,của chúng tôi,,,A1,
out,,,,ngoài,,,A1,
over,,"adv., prep.",,qua,,,A1,
own,,"adj., pron., v.",,sở hữu,,,A1,
oxygen,,,,khí oxy,,,A1,
page,,n.,,trang giấy,,,A1,
paint,,"n., v.",,sơn màu,,,A1,
pair,,n.,,một cặp,,,A1,
paper,,n.,,giấy tờ,,,A1,
paragraph,,,,đoạn văn,,,A1,
parent,,n.,,phụ huynh,,,A1,
part,,n.,,phần,,,A1,
particular,,adj.,,cụ thể,,,A1,
party,,n.,,bữa tiệc,,,A1,
pass,,v.,,đi qua,,,A1,
past,,"adj., n., prep., adv.",,quá khứ,,,A1,
pattern,,n.,,hoa văn,,,A1,
pay,,"v., n.",,trả tiền,,,A1,
people,,n.,,mọi người,,,A1,
perhaps,,adv.,,có lẽ,,,A1,
period,,n.,,thời kỳ,,,A1,
person,,n.,,một người,,,A1,
phrase,,n.,,cụm từ,,,A1,
pick,,v.,,nhặt lên,,,A1,
picture,,n.,,bức ảnh,,,A1,
piece,,n.,,miếng,,,A1,
pitch,,n.,,cường độ,,,A1,
place,,"n., v.",,địa điểm,,,A1,
plain,,adj.,,đồng bằng,,,A1,
plan,,"n., v.",,kế hoạch,,,A1,
plane,,n.,,máy bay,,,A1,
planet,,n.,,hành tinh,,,A1,
plant,,"n., v.",,thực vật,,,A1,
play,,"v., n.",,chơi đùa,,,A1,
please,,v.,,làm ơn,,,A1,
plural,,,,số nhiều,,,A1,
poem,,n.,,bài thơ,,,A1,
point,,"n., v.",,điểm số,,,A1,
poor,,adj.,,nghèo khó,,,A1,
popular,,adj.,,phổ biến,,,A1,
populate,,,,cư dân,,,A1,
port,,n.,,bến cảng,,,A1,
pose,,"v., n.",,tạo dáng,,,A1,
position,,n.,,vị trí,,,A1,
possible,,adj.,,có thể,,,A1,
post,,"n., v.",,gửi thư,,,A1,
pound,,n.,,bảng anh,,,A1,
power,,n.,,quyền lực,,,A1,
practice,,n.,,luyện tập,,,A1,
prepare,,v.,,chuẩn bị,,,A1,
present,,"adj., n., v.",,hiện tại,,,A1,
press,,"n., v.",,nhấn nút,,,A1,
pretty,,"adv., adj.",,xinh xắn,,,A1,
print,,"v., n.",,in ấn,,,A1,
probable,,adj.,,có khả năng,,,A1,
problem,,n.,,vấn đề,,,A1,
process,,"n., v.",,quá trình,,,A1,
produce,,v.,,sản xuất,,,A1,
product,,n.,,sản phẩm,,,A1,
proper,,adj.,,thích hợp,,,A1,
property,,n.,,tài sản,,,A1,
protect,,v.,,bảo vệ,,,A1,
prove,,v.,,chứng minh,,,A1,
provide,,v.,,cung cấp,,,A1,
pull,,"v., n.",,kéo,,,A1,
push,,"v., n.",,đẩy,,,A1,
put,,v.,,đặt để,,,A1,
quart,,,,một phần tư,,,A1,
question,,"n., v.",,câu hỏi,,,A1,
quick,,adj.,,nhanh nhẹn,,,A1,
quiet,,adj.,,yên tĩnh,,,A1,
quite,,adv.,,khá là,,,A1,
quotient,,,,thương số,,,A1,
race,,"n., v.",,cuộc đua,,,A1,
radio,,n.,,đài phát thanh,,,A1,
rail,,n.,,đường sắt,,,A1,
rain,,"n., v.",,cơn mưa,,,A1,
raise,,v.,,nâng lên,,,A1,
range,,n.,,phạm vi,,,A1,
rather,,adv.,,thà rằng,,,A1,
reach,,v.,,chạm tới,,,A1,
read,,v.,,đọc sách,,,A1,
ready,,adj.,,sẵn sàng,,,A1,
real,,adj.,,thực tế,,,A1,
reason,,n.,,lý do,,,A1,
receive,,v.,,nhận lấy,,,A1,
record,,"n., v.",,ghi âm,,,A1,
red,,"adj., n.",,màu đỏ,,,A1,
region,,n.,,khu vực,,,A1,
remember,,v.,,ghi nhớ,,,A1,
repeat,,v.,,lặp lại,,,A1,
reply,,"n., v.",,trả lời,,,A1,
represent,,v.,,đại diện,,,A1,
require,,v.,,yêu cầu,,,A1,
rest,,"n., v.",,nghỉ ngơi,,,A1,
result,,"n., v.",,kết quả,,,A1,
rich,,adj.,,giàu có,,,A1,
ride,,"v., n.",,cưỡi xe,,,A1,
right,,"adj., adv., n.",,bên phải,,,A1,
ring,,"n., v.",,chiếc nhẫn,,,A1,
rise,,"n., v.",,tăng lên,,,A1,
river,,n.,,dòng sông,,,A1,
road,,n.,,con đường,,,A1,
rock,,n.,,tảng đá,,,A1,
roll,,"n., v.",,cuộn lại,,,A1,
room,,n.,,căn phòng,,,A1,
root,,n.,,rễ cây,,,A1,
rope,,n.,,sợi dây,,,A1,
rose,,,,hoa hồng,,,A1,
round,,"adj., adv., prep, n.",,hình tròn,,,A1,
row,,,,hàng ngang,,,A1,
rub,,v.,,chà xát,,,A1,
rule,,"n., v.",,quy định,,,A1,
run,,"v., n.",,chạy,,,A1,
safe,,adj.,,an toàn,,,A1,
said,,,,đã nói,,,A1,
sail,,"v., n.",,cánh buồm,,,A1,
salt,,n.,,muối ăn,,,A1,
same,,"adj., pron.",,giống nhau,,,A1,
sand,,n.,,cát,,,A1,
sat,,,,đã ngồi,,,A1,
save,,v.,,cứu giúp,,,A1,
saw,,,,đã thấy,,,A1,
say,,v.,,nói,,,A1,
scale,,,,vảy cá,,,A1,
school,,,,trường học,,,A1,
science,,,,khoa học,,,A1,
score,,,,điểm số,,,A1,
sea,,,,biển cả,,,A1,
search,,,,tìm kiếm,,,A1,
season,,,,mùa màng,,,A1,
seat,,,,chỗ ngồi,,,A1,
second,,,,giây lát,,,A1,
section,,,,bộ phận,,,A1,
see,,,,nhìn thấy,,,A1,
seed,,,,hạt giống,,,A1,
seem,,,,dường như,,,A1,
segment,,,,phân đoạn,,,A1,
select,,,,lựa chọn,,,A1,
self,,,,bản thân,,,A1,
sell,,,,bán buôn,,,A1,
send,,,,gửi đi,,,A1,
sense,,,,cảm giác,,,A1,
sent,,,,đã gửi,,,A1,
sentence,,,,câu văn,,,A1,
separate,,,,tách biệt,,,A1,
serve,,,,phục vụ,,,A1,
set,,,,thiết lập,,,A1,
settle,,,,ổn định,,,A1,
seven,,,,bảy,,,A1,
several,,,,một vài,,,A1,
shall,,,,sẽ phải,,,A1,
shape,,,,hình dáng,,,A1,
share,,,,chia sẻ,,,A1,
sharp,,,,sắc bén,,,A1,
she,,,,cô ấy,,,A1,
sheet,,,,tấm chăn,,,A1,
shell,,,,vỏ sò,,,A1,
shine,,,,tỏa sáng,,,A1,
ship,,,,con tàu,,,A1,
shoe,,,,chiếc giày,,,A1,
shop,,,,cửa hàng,,,A1,
shore,,,,bờ biển,,,A1,
short,,,,ngắn gọn,,,A1,
should,,,,nên làm,,,A1,
shoulder,,,,bờ vai,,,A1,
shout,,,,hét lên,,,A1,
show,,,,chỉ ra,,,A1,
side,,,,phía bên,,,A1,
sight,,,,tầm nhìn,,,A1,
sign,,,,dấu hiệu,,,A1,
silent,,,,im lặng,,,A1,
silver,,,,bạc,,,A1,
similar,,,,tương tự,,,A1,
simple,,,,đơn giản,,,A1,
since,,,,kể từ,,,A1,
sing,,,,hát hò,,,A1,
single,,,,độc thân,,,A1,
sister,,,,chị gái,,,A1,
sit,,,,ngồi,,,A1,
six,,,,sáu,,,A1,
size,,,,kích cỡ,,,A1,
skill,,,,kỹ năng,,,A1,
skin,,,,da thịt,,,A1,
sky,,,,bầu trời,,,A1,
slave,,,,nô lệ,,,A1,
sleep,,,,ngủ,,,A1,
slip,,,,trượt ngã,,,A1,
slow,,,,chậm trễ,,,A1,
small,,,,nhỏ nhắn,,,A1,
smell,,,,ngửi mùi,,,A1,
smile,,,,mỉm cười,,,A1,
snow,,,,tuyết,,,A1,
so,,,,vì thế,,,A1,
soft,,,,mềm mại,,,A1,
soil,,,,đất đai,,,A1,
soldier,,,,quân lính,,,A1,
solution,,,,giải pháp,,,A1,
solve,,,,giải quyết,,,A1,
some,,,,một số,,,A1,
son,,,,con trai,,,A1,
song,,,,bài hát,,,A1,
soon,,,,sớm thôi,,,A1,
sound,,,,âm thanh,,,A1,
south,,,,phía nam,,,A1,
space,,,,không gian,,,A1,
speak,,,,nói chuyện,,,A1,
special,,,,đặc biệt,,,A1,
speech,,,,bài diễn văn,,,A1,
speed,,,,tốc độ,,,A1,
spell,,,,đánh vần,,,A1,
spend,,,,tiêu xài,,,A1,
spoke,,,,đã nói,,,A1,
spot,,,,dấu vết,,,A1,
spread,,,,lây lan,,,A1,
spring,,,,mùa xuân,,,A1,
square,,,,hình vuông,,,A1,
stand,,,,đứng dậy,,,A1,
star,,,,ngôi sao,,,A1,
start,,,,bắt đầu,,,A1,
state,,,,trạng thái,,,A1,
station,,,,nhà ga,,,A1,
stay,,,,ở lại,,,A1,
stead,,,,thay vì,,,A1,
steam,,,,hơi nước,,,A1,
steel,,,,thép cứng,,,A1,
step,,,,bước đi,,,A1,
stick,,,,gậy gộc,,,A1,
still,,,,vẫn còn,,,A1,
stone,,,,hòn đá,,,A1,
stood,,,,đã đứng,,,A1,
stop,,,,dừng lại,,,A1,
store,,,,lưu trữ,,,A1,
story,,,,câu chuyện,,,A1,
straight,,,,thẳng thắn,,,A1,
strange,,,,xa lạ,,,A1,
stream,,,,dòng suối,,,A1,
street,,,,con phố,,,A1,
stretch,,,,vươn vai,,,A1,
string,,,,sợi dây,,,A1,
strong,,,,mạnh mẽ,,,A1,
student,,,,học sinh,,,A1,
study,,,,học tập,,,A1,
subject,,,,môn học,,,A1,
substance,,,,vật chất,,,A1,
subtract,,,,trừ đi,,,A1,
success,,,,thành công,,,A1,
such,,,,như vậy,,,A1,
sudden,,,,đột ngột,,,A1,
suffix,,,,hậu tố,,,A1,
sugar,,,,đường ngọt,,,A1,
suggest,,,,đề nghị,,,A1,
suit,,,,bộ đồ,,,A1,
summer,,,,mùa hè,,,A1,
sun,,,,mặt trời,,,A1,
supply,,,,cung cấp,,,A1,
support,,,,hỗ trợ,,,A1,
sure,,,,chắc chắn,,,A1,
surface,,,,bề mặt,,,A1,
surprise,,,,ngạc nhiên,,,A1,
swim,,,,bơi lội,,,A1,
syllable,,,,âm tiết,,,A1,
symbol,,,,biểu tượng,,,A1,
system,,,,hệ thống,,,A1,
table,,,,cái bàn,,,A1,
tail,,,,cái đuôi,,,A1,
take,,,,lấy đi,,,A1,
talk,,,,trò chuyện,,,A1,
tall,,,,cao ráo,,,A1,
teach,,,,dạy bảo,,,A1,
team,,,,đội ngũ,,,A1,
teeth,,,,hàm răng,,,A1,
tell,,,,bảo cho,,,A1,
temperature,,,,nhiệt độ,,,A1,
ten,,,,mười,,,A1,
term,,,,thuật ngữ,,,A1,
test,,,,kiểm tra,,,A1,
than,,,,hơn là,,,A1,
thank,,,,cảm ơn,,,A1,
that,,,,cái đó,,,A1,
the,,,,cái này,,,A1,
their,,,,của họ,,,A1,
them,,,,bọn họ,,,A1,
then,,,,sau đó,,,A1,
there,,,,ở đó,,,A1,
these,,,,những cái này,,,A1,
they,,,,họ,,,A1,
thick,,,,dày đặc,,,A1,
thin,,,,mỏng manh,,,A1,
thing,,,,đồ vật,,,A1,
think,,,,suy nghĩ,,,A1,
third,,,,thứ ba,,,A1,
this,,,,cái này,,,A1,
though,,,,mặc dù,,,A1,
thought,,,,đã nghĩ,,,A1,
thousand,,,,nghìn,,,A1,
three,,,,ba,,,A1,
through,,,,xuyên qua,,,A1,
throw,,,,ném đi,,,A1,
thus,,,,như vậy,,,A1,
tie,,,,thắt dây,,,A1,
time,,,,thời gian,,,A1,
tiny,,,,nhỏ bé,,,A1,
tire,,,,lốp xe,,,A1,
to,,,,tới,,,A1,
together,,,,cùng nhau,,,A1,
told,,,,đã nói,,,A1,
tone,,,,âm điệu,,,A1,
too,,,,cũng vậy,,,A1,
took,,,,đã lấy,,,A1,
tool,,,,công cụ,,,A1,
top,,,,đỉnh cao,,,A1,
total,,,,tổng số,,,A1,
touch,,,,chạm vào,,,A1,
toward,,,,hướng tới,,,A1,
town,,,,thị trấn,,,A1,
track,,,,theo dõi,,,A1,
trade,,,,buôn bán,,,A1,
train,,,,tàu hỏa,,,A1,
travel,,,,du lịch,,,A1,
tree,,,,cái cây,,,A1,
triangle,,,,tam giác,,,A1,
trip,,,,chuyến đi,,,A1,
trouble,,,,rắc rối,,,A1,
truck,,,,xe tải,,,A1,
true,,,,sự thật,,,A1,
try,,,,thử sức,,,A1,
tube,,,,ống nước,,,A1,
turn,,,,rẽ hướng,,,A1,
twenty,,,,hai mươi,,,A1,
two,,,,hai,,,A1,
type,,,,kiểu loại,,,A1,
under,,,,bên dưới,,,A1,
unit,,,,đơn vị,,,A1,
until,,,,cho đến,,,A1,
up,,,,lên trên,,,A1,
us,,,,chúng ta,,,A1,
use,,,,sử dụng,,,A1,
usual,,,,thông thường,,,A1,
valley,,,,thung lũng,,,A1,
value,,,,giá trị,,,A1,
vary,,,,thay đổi,,,A1,
verb,,,,động từ,,,A1,
very,,,,rất nhiều,,,A1,
view,,,,quang cảnh,,,A1,
village,,,,ngôi làng,,,A1,
visit,,,,thăm viếng,,,A1,
voice,,,,giọng nói,,,A1,
vowel,,,,nguyên âm,,,A1,
wait,,,,đợi chờ,,,A1,
walk,,,,đi bộ,,,A1,
wall,,,,bức tường,,,A1,
want,,,,mong muốn,,,A1,
war,,,,chiến tranh,,,A1,
warm,,,,ấm áp,,,A1,
was,,,,đã là,,,A1,
wash,,,,giặt giũ,,,A1,
watch,,,,đồng hồ,,,A1,
water,,,,dòng nước,,,A1,
wave,,,,ngọn sóng,,,A1,
way,,,,cách thức,,,A1,
we,,,,chúng ta,,,A1,
wear,,,,mặc vào,,,A1,
weather,,,,thời tiết,,,A1,
week,,,,tuần lễ,,,A1,
weight,,,,cân nặng,,,A1,
well,,,,tốt đẹp,,,A1,
were,,,,đã là,,,A1,
west,,,,phía tây,,,A1,
what,,,,cái gì,,,A1,
wheel,,,,bánh xe,,,A1,
when,,,,khi nào,,,A1,
where,,,,ở đâu,,,A1,
whether,,,,liệu rằng,,,A1,
which,,,,cái nào,,,A1,
while,,,,trong khi,,,A1,
white,,,,màu trắng,,,A1,
who,,,,ai đó,,,A1,
whole,,,,toàn bộ,,,A1,
whose,,,,của ai,,,A1,
why,,,,tại sao,,,A1,
wide,,,,rộng rãi,,,A1,
wife,,,,người vợ,,,A1,
wild,,,,hoang dã,,,A1,
will,,,,sẽ làm,,,A1,
win,,,,chiến thắng,,,A1,
wind,,,,ngọn gió,,,A1,
window,,,,cửa sổ,,,A1,
wing,,,,đôi cánh,,,A1,
winter,,,,mùa đông,,,A1,
wire,,,,dây điện,,,A1,
wish,,,,ước nguyện,,,A1,
with,,,,cùng với,,,A1,
woman,,,,người nữ,,,A1,
women,,,,phụ nữ,,,A1,
wonder,,,,thắc mắc,,,A1,
wood,,,,gỗ cây,,,A1,
word,,,,từ vựng,,,A1,
work,,,,làm việc,,,A1,
world,,,,thế giới,,,A1,
write,,,,viết lách,,,A1,
written,,,,đã viết,,,A1,
wrong,,,,sai trái,,,A1,
wrote,,,,đã viết,,,A1,
year,,,,năm học,,,A1,
yellow,,,,màu vàng,,,A1,
yes,,,,vâng ạ,,,A1,
yet,,,,chưa đâu,,,A1,
you,,,,bạn,,,A1,
young,,,,trẻ trung,,,A1,
your,,,,của bạn,,,A1,
yolk,,,,lòng đỏ,,,A1,
yeanling,,,,dê con,,,A1,
yearbook,,,,niên giám,,,A1,
yearling,,,,khao khát,,,A1,
yearlong,,,,kéo dài,,,A1,
yearning,,,,khao khát,,,A1,
yeomanry,,,,phong thủy,,,A1,
yielding,,,,năng suất,,,A1,
youngish,,,,trẻ trung,,,A1,
yourself,,,,bản thân bạn,,,A1,
youthful,,,,trẻ trung,,,A1,
yabbering,,,,tiếng kêu,,,A1,
yachtings,,,,du thuyền,,,A1,
yachtsmen,,,,du thuyền,,,A1,
yappingly,,,,ngáp,,,A1,
yardbirds,,,,chim sân,,,A1,
yardlands,,,,sân đất,,,A1,
yardworks,,,,sân bãi,,,A1,
yawmeters,,,,ngáp,,,A1,
yawningly,,,,ngáp,,,A1,
yearbooks,,,,kỷ yếu,,,A1,
yearlings,,,,năm con,,,A1,
yearnings,,,,khao khát,,,A1,
yeastiest,,,,đẹp nhất,,,A1,
yeastless,,,,không men,,,A1,
yeastlike,,,,giống như men,,,A1,
yellowest,,,,màu vàng nhất,,,A1,
yuckiness,,,,kinh ngạc,,,A1,
